2023-06-28 20:16:02,613 INFO    MainThread:15817 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-28 20:16:02,614 INFO    MainThread:15817 [wandb_setup.py:_flush():76] Configure stats pid to 15817
2023-06-28 20:16:02,614 INFO    MainThread:15817 [wandb_setup.py:_flush():76] Loading settings from /home/codespace/.config/wandb/settings
2023-06-28 20:16:02,614 INFO    MainThread:15817 [wandb_setup.py:_flush():76] Loading settings from /workspaces/building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/settings
2023-06-28 20:16:02,614 INFO    MainThread:15817 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-28 20:16:02,614 INFO    MainThread:15817 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-28 20:16:02,614 INFO    MainThread:15817 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/upload_artifact.py', 'program': '/workspaces/building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/upload_artifact.py'}
2023-06-28 20:16:02,614 INFO    MainThread:15817 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-06-28 20:16:02,614 INFO    MainThread:15817 [wandb_init.py:_log_setup():507] Logging user logs to /workspaces/building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20230628_201602-lqtqxapa/logs/debug.log
2023-06-28 20:16:02,614 INFO    MainThread:15817 [wandb_init.py:_log_setup():508] Logging internal logs to /workspaces/building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_1/starter/wandb/run-20230628_201602-lqtqxapa/logs/debug-internal.log
2023-06-28 20:16:02,614 INFO    MainThread:15817 [wandb_init.py:init():547] calling init triggers
2023-06-28 20:16:02,615 INFO    MainThread:15817 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-06-28 20:16:02,615 INFO    MainThread:15817 [wandb_init.py:init():596] starting backend
2023-06-28 20:16:02,615 INFO    MainThread:15817 [wandb_init.py:init():600] setting up manager
2023-06-28 20:16:02,616 INFO    MainThread:15817 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-28 20:16:02,622 INFO    MainThread:15817 [wandb_init.py:init():606] backend started and connected
2023-06-28 20:16:02,623 INFO    MainThread:15817 [wandb_init.py:init():703] updated telemetry
2023-06-28 20:16:02,636 INFO    MainThread:15817 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-28 20:16:03,052 INFO    MainThread:15817 [wandb_run.py:_on_init():2176] communicating current version
2023-06-28 20:16:03,095 INFO    MainThread:15817 [wandb_run.py:_on_init():2185] got version response 
2023-06-28 20:16:03,095 INFO    MainThread:15817 [wandb_init.py:init():787] starting run threads in backend
2023-06-28 20:16:03,131 INFO    MainThread:15817 [wandb_run.py:_console_start():2155] atexit reg
2023-06-28 20:16:03,131 INFO    MainThread:15817 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-28 20:16:03,131 INFO    MainThread:15817 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-28 20:16:03,133 INFO    MainThread:15817 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-28 20:16:03,137 INFO    MainThread:15817 [wandb_init.py:init():828] run started, returning control to user process
2023-06-28 20:16:10,076 WARNING MsgRouterThr:15817 [router.py:message_loop():77] message_loop has been closed
